House.ID;Longitude;Latitude;Address;Park;Neighborhood;Ticks;I;H;A;Lawn;Log.brush;Wood;Vegetable;Birdfeeder;Chicken;Fence;Play;Seating;Wall;Compost.bin;Trashcan;Food.shelter;Fencing.yard.;Number.tubes;Number.tubes.with.hair;Number.tubes.peromyscus;Number.tubes.insectivore;Number.tubes.vole;Number.tubes.raccoon;Number.tubes.chipmunk;Woodchuck_VisR;Deer_VisR;Raccon_VisR;Cat_VisR;Possum_VisR;Skunk_VisR;Squirrel_VisR;type_edge;Acres;ApproxMOrnamentals;ApproxMherbaceous;ApproxMnonherbaceous;ApproxMweeds;ApproxMevergreen;ApproxMgrass;prop.grass;prop.shrub;prop.lowcan;prop.highcan;prop.bare;prop.imperv
SI001;-74,13731;40,576;307 Nugent St;Latourette;Middle;Y;5;57;453;1;1;0;1;0;NA;0;0;0;NA;0;1;0;NA;19;10;9;0;0;1;2;0,214285714;0,214285714;0,071428571;0;0;0;0,571428571;1;0,286703611;5;30;40;60;5;110;0,047372954;0,115417743;0,422911283;0,168819983;0;0,245478036
SI018;-74,13985;40,57729;370 London Rd;Latourette;Middle;N;0;0;0;1;0;1;1;0;NA;1;0;0;NA;0;1;0;3;11;3;1;1;0;2;0;0;0;0;0;0;0;0;3;0,139599081;7;20;50;0;30;100;0,212389381;0,063716814;0,184070796;0,173451327;0;0,366371681
SI036;-74,19794;40,52155;209 Seguine Ave;Wolfe's pond;South Middle;Y;0;0;371;1;1;0;1;0;NA;1;0;0;NA;0;1;0;2;22;11;11;0;0;0;1;0,214285714;0,214285714;0,142857143;0,214285714;0,142857143;0;0,285714286;3;0,435592081;5;35;35;110;10;0;0,222789116;0,066326531;0,461451247;0,052154195;0;0,197278912
SI063;-74,13347;40,57579;201 St George Rd;Latourette;Middle;N;0;0;0;0;1;0;1;0;NA;1;1;0;NA;0;1;0;2;7;1;0;0;0;0;0;0;0,071428571;0,142857143;0,142857143;0,142857143;0;0,357142857;3;0,094384008;1;0;0;40;0;0;0,089238845;0,091863517;0,254593176;0,162729659;0;0,401574803
SI078;-74,1319;40,57695;143 Nugent st;Latourette;Middle;Y;7;10;8;1;1;0;0;0;NA;0;0;0;NA;0;0;1;NA;16;4;1;0;0;4;0;0;0,428571429;0,214285714;0,357142857;0,071428571;0;0;1;0,153953571;2;0;10;80;0;85;0,0176;0,0016;0,3168;0,4544;0;0,2096
SI095;-74,13498;40,57585;241 Ascot Ave;Latourette;Middle;N;0;0;0;1;1;0;0;0;NA;0;1;0;NA;0;0;0;NA;11;1;0;0;0;0;1;0,071428571;0,071428571;0,071428571;0,214285714;0,142857143;0;0,428571429;1;0,095540679;4;20;20;30;0;105;0,015503876;0,043927649;0,674418605;0,266149871;0;0
SI125;-74,09845;40,60423;190 Coverly ave;Reed's basket willow;Middle;Y;0;3;0;NA;1;1;0;0;NA;1;0;0;NA;0;0;0;2;11;4;0;0;0;4;0;0;0,142857143;0,142857143;0,142857143;0;0;0,285714286;1;0,305049569;4;0;30;0;5;0;0,033980583;0,141585761;0,451456311;0,105177994;0;0,267799353
SI167;-74,24037;40,53525;122 Androvette St;Clay Pit;South;Y;2;4;0;1;1;0;1;1;NA;1;0;0;NA;0;0;0;2;12;0;0;0;0;0;0;0,357142857;0,071428571;0,071428571;0;0;0,071428571;0,428571429;3;0,422820461;1;20;0;0;0;115;0,192622951;0,079625293;0,451990632;0;0;0,275761124
SI2161;-74,10267;40,59876;40 Hillview Pl;Reed's basket willow;Middle;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;0;1;2;14;2;2;1;0;1;0;0;0,071428571;0,142857143;0,214285714;0;0,071428571;0,214285714;1;0,186052388;4;25;25;0;0;15;0,01589404;0,051655629;0,443708609;0,198675497;0;0,290066225
SI2176;-74,17556;40,52876;263 Poillon Ave;Blue Heron;South Middle;N;0;0;0;1;1;1;1;1;NA;1;0;1;NA;0;1;0;3;22;4;0;0;0;3;0;0;0;0,142857143;0,285714286;0;0;0,071428571;3;0,329912082;11;65;30;55;65;5;0,121166791;0,087509349;0,382946896;0,140613313;0,014958863;0,252804787
SI2473;-74,1227785;40,6256269;11 Egbert Ave;Clove Lakes;North;N;0;0;0;1;0;0;0;1;NA;1;0;0;NA;1;1;0;1;14;6;3;0;0;0;2;0;0;0;0;0;0;0,285714286;3;0,134073672;1;5;0;15;0;0;0,053406998;0,012891344;0,35359116;0,250460405;0;0,329650092
SI2552;-74,18775;40,52021;419/423 Cornelia Ave;Wolfe's pond;South Middle;Y;29;0;163;0;1;1;0;1;NA;1;0;0;NA;0;1;1;2;22;13;4;0;0;10;2;0,071428571;0,357142857;0,285714286;0,214285714;0;0;0;3;0,159157472;1;15;0;130;0;55;0,00620155;0,012403101;0,07751938;0,618604651;0;0,285271318
SI2706;-74,1879;40,52042;67 Veith Pl;Wolfe's pond;South Middle;N;0;0;0;0;0;0;0;1;NA;1;0;0;NA;0;1;1;3;6;3;0;0;0;2;1;0,222222222;0;0,222222222;0,555555556;0;0;0;2;0,026674011;1;5;10;0;0;0;0,027777778;0,027777778;0,018518519;0;0;0,925925926
SI2707;-74,1881239;40,5204599;405 Cornelia Ave;Wolfe's pond;South Middle;N;0;0;0;0;0;0;1;1;NA;1;0;0;NA;0;1;0;2;10;5;1;1;0;4;0;0,214285714;0,142857143;0;0,142857143;0;0;0;2;0,048186543;1;10;0;40;0;30;0,015463918;0,015463918;0,020618557;0;0;0,948453608
